Found 1614 results
17525980	Altered functional connectivity of primary visual cortex in early blindness.	Department of Radiology, Xuanwu Hospital of Capital University of Medical Sciences, Beijing, China.
20629125	Hyperactive putamen in patients with paroxysmal kinesigenic choreoathetosis: a resting-state functional magnetic resonance imaging study.	Department of Neurology, West China Hospital, Sichuan University, Chengdu, People's Republic of China.
19595739	Partial correlation investigation on the default mode network involved in acupuncture: an fMRI study.	School of Sino-Dutch Biomedical and Information Engineering, Northeastern University, Shenyang, Liaoning 110004, China.
21349336	EEG-BOLD correlations during (post-)adolescent brain maturation.	Department of Child and Adolescent Psychiatry, University of Zürich, Zurich, Switzerland.
23044373	Functional Connectivity Measures After Psilocybin Inform a Novel Hypothesis of Early Psychosis.	Imperial College London, Centre for Neuropsychopharmacology, Division of Experimental Medicine, London, UK;
23228724	Altered cerebellar-cerebral resting-state functional connectivity reliably identifies major depressive disorder.	College of Mechatronics and Automation, National University of Defense Technology, Changsha, Hunan 410073, PR China.
23286135	Dominant component analysis of electrophysiological connectivity networks.	Section of Biomedical Image Analysis, University of Pennsylvania, Philadelphia, PA, USA. Yasser.Ghanbari@uphs.upenn.edu
22743194	Anti-correlated networks, global signal regression, and the effects of caffeine in resting-state functional MRI.	Center for Functional Magnetic Resonance Imaging, University of California San Diego, 9500 Gilman Drive, MC 0677, La Jolla, CA 92093-0677, USA. cwwong@ieee.org
22387608	Hemispheric asymmetries of functional connectivity and grey matter volume in the default mode network.	Universidad Nacional Autónoma de México, Facultad de Ciencias, Universidad 3000 Circuito Exterior S/N, C.P. 04510 Ciudad Universitaria, Mexico. saenger@ciencias.unam.mx
22833042	Resting-state fMRI studies in epilepsy.	Department of Neurology, the Affiliated Hospital of Inner Mongolia Medical College, Hohhot 010050, China.
22995440	Longitudinal evaluation of resting-state FMRI after acute stroke with hemiparesis.	Department of Electrical and Computer Engineering, University of Calgary, Calgary, AB, Canada.
16685993	Discriminative analysis of brain function at resting-state for attention-deficit/hyperactivity disorder.	National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences, P R China. czzhu@nlpr.ia.ac.cn
22022410	Altered connectivity pattern of hubs in default-mode network with Alzheimer's disease: an Granger causality modeling approach.	State Key Laboratory of Cognitive Neuroscience and Learning, Beijing Normal University, Beijing, China.
23089152	Resting state networks in paroxysmal disorders of consciousness.	School of Psychology, University of Birmingham, Birmingham, UK.
19345899	Resting-state spontaneous fluctuations in brain activity: a new paradigm for presurgical planning using fMRI.	Mallinckrodt Institute of Radiology and the Department of Neurosurgery, Washington University School of Medicine, 510 S Kingshighway Blvd, St. Louis, MO 63110, USA. shimonyj@wustl.edu
22522963	Alterations of the salience network in obesity: A resting-state fMRI study.	Department of Psychiatry and Clinical Psychobiology, University of Barcelona, Barcelona, Spain; Institute for Brain, Cognition and Behaviour (IR3C), Barcelona, Spain.
21193174	Brain network connectivity in individuals with schizophrenia and their siblings.	Department of Psychology, University of Ljubljana, Ljubljana, Slovenia.
22973198	A compact and realistic cerebral cortical layout derived from prewhitened resting-state fMRI time series: Cherniak's adjacency rule, size law, and metamodule grouping upheld.	Brain Sciences Center, Veterans Affairs Health Care System Minneapolis, MN, USA.
17191227	Quantitative BOLD: mapping of human cerebral deoxygenated blood volume and oxygen extraction fraction: default state.	Department of Radiology, Washington University, St. Louis, Missouri, USA.
22895703	Spontaneous brain activity relates to autonomic arousal.	Department of Psychology, Queens College, City University of New York, Flushing, New York 11367, USA. jin.fan@qc.cuny.edu
22042444	Energy-based stochastic control of neural mass models suggests time-varying effective connectivity in the resting state.	Montreal Neurological Institute, Departments of Neurology and Neurosurgery and Biomedical Engineering, McGill University, Montreal, Quebec, Canada. roberto.soterodiaz@mcgill.ca
22642651	Conn: a functional connectivity toolbox for correlated and anticorrelated brain networks.	Department of Brain and Cognitive Sciences, Martinos Imaging Center at McGovern Institute for Brain Research, and Poitras Center for Affective Disorders Research, Massachusetts Institute of Technology, Cambridge, MA 02139, USA. swg@mit.edu
22256066	Predicting efficacy of robot-aided rehabilitation in chronic stroke patients using an MRI-compatible robotic device.	Università Campus Bio-Medico di Roma, Center for Integrated research, Laboratory of Biomedical Robotics and Biomicrosystems, Rome, Italy. fabrizio.sergi@unicampus.it
20826306	The development of human functional brain networks.	Department of Neurology, Washington University School of Medicine, St Louis, MO 63110, USA. powerj@wusm.wustl.edu
22973006	Spatiotemporal reconfiguration of large-scale brain functional networks during propofol-induced loss of consciousness.	Max Planck Institute of Psychiatry, 80804 Munich, Germany.
22119650	TE-dependent spatial and spectral specificity of functional connectivity.	Neuroimaging Research Branch, National Institute on Drug Abuse, National Institutes of Health, Baltimore, MD 21224, USA.
18262825	A dual-networks architecture of top-down control.	Washington University in St Louis School of Medicine, 4525 Scott Ave, St Louis, MO 63110, USA. ndosenbach@wustl.edu
21854972	Multimodal neuroimaging in patients with disorders of consciousness showing "functional hemispherectomy".	Coma Science Group, Cyclotron Research Center, University and University Hospital of Liège, Liège, Belgium.
9950716	Conceptual processing during the conscious resting state. A functional MRI study.	Department of Neurology, Medical College of Wisconsin, 9200 West Wisconsin Avenue, Milwaukee, WI 53226, USA. jbinder@post.its.mcw.edu
23266698	Volitional eyes opening perturbs brain dynamics and functional connectivity regardless of light input.	Brain Mapping Unit and Behavioural and Clinical Neuroscience Institute, University of Cambridge, Cambridge, UK.
21811288	Partitioning of physiological noise signals in the brain with concurrent near-infrared spectroscopy and fMRI.	Brain Imaging Center, McLean Hospital, Belmont, Massachusetts 02478, USA. ytong@mclean.harvard.edu
20932778	Brain imaging of the self--conceptual, anatomical and methodological issues.	Mind, Brain Imaging and Neuroethics, University of Ottawa Institute of Mental Health Research (IMHR), 1145 Carling Avenue Ottawa, ON, Canada K1Z 7K4. georg.northoff@rohcg.on.ca
21691234	Short-term meditation increases network efficiency of the anterior cingulate cortex.	Institute of Neuroinformatics and Laboratory for Body and Mind, Dalian University of Technology, Dalian, China.
22955132	Large-scale neuronal network dysfunction in multiple sclerosis?: Evidence from resting-state fMRI.	(blank affiliation)
22738280	Independent component analysis of localized resting-state functional magnetic resonance imaging reveals specific motor subnetworks.	Department of Bio and Brain Engineering, KAIST, Daejeon, Republic of Korea.
20439317	Autism spectrum traits in the typical population predict structure and function in the posterior superior temporal sulcus.	Cognition and Brain Sciences Unit, Medical Research Council, Cambridge, CB2 7EF, UK. elisabeth.vondemhagen@mrc-cbu.cam.ac.uk
21629680	Impact of visual repetition rate on intrinsic properties of low frequency fluctuations in the visual network.	Graduate Institute of Biomedical Engineering and Bioinformatics, National Taiwan University, Taipei, Taiwan.
19720989	High-field MRI reveals an acute impact on brain function in survivors of the magnitude 8.0 earthquake in China.	Huaxi MR Research Center, Department of Radiology, State Key Laboratory of Biotherapy, West China Hospital of Sichuan University, Chengdu 610041, China.
22153589	Abnormal functional connectivity in children with attention-deficit/hyperactivity disorder.	National Institute on Alcohol Abuse and Alcoholism, Bethesda, Maryland, USA. tomasi@bnl.gov
21255654	Alteration of brain functional network at rest and in response to YMCA physical stress test in concussed athletes: RsFMRI study.	Department of Kinesiology, The Pennsylvania State University, University Park, PA 16802, USA. sms18@psu.edu
22961475	Altered regional homogeneity in post-traumatic stress disorder: a resting-state functional magnetic resonance imaging study.	Mental Health Institute, The Second Xiangya Hospital of Central South University, Changsha, 410011, China.
21520345	The obese brain: association of body mass index and insulin sensitivity with resting state network functional connectivity.	MEG Center, University of Tübingen, Tübingen, Germany. stephanie.kullmann@med.uni-tuebingen.de
9346428	Oxidative glucose metabolism in rat brain during single forepaw stimulation: a spatially localized 1H[13C] nuclear magnetic resonance study.	Department of Molecular Biophysics and Biochemistry, Yale University, New Haven, Connecticut 06510, U.S.A.
22698584	Alterations in regional homogeneity of resting-state brain activity in ketamine addicts.	Mental Health Institute, the Second Xiangya Hospital, Central South University, 139 Renmin (M) Road, Changsha, Hunan 410011, PR China.
22236691	Resting state functional MRI in Alzheimer's Disease.	Department of Radiology, Mayo Clinic and Foundation, 200 First Street SW, Rochester, MN 55905, USA. vemuri.prashanthi@mayo.edu.
23008170	Key functional circuitry altered in schizophrenia involves parietal regions associated with sense of self.	College of Mathematics and Computer Science, Key Laboratory of High Performance Computing and Stochastic Information Processing, Ministry of Education of China, Hunan Normal University, Changsha, Hunan, China.
